title,writer,price
"IT CookBook, 정보보안 이론과 실제(3판)",Mark Stamp ,32000
사라진 개발자들,캐시 클라이먼 ,18900
보이지 않는 위협,김홍선 ,16920
투자의 구원자들,로빈 위글스워스 ,24300
1학년 받아쓰기,하유정 ,13500
"IT CookBook, HTML5 웹 프로그래밍 입문(4판)",윤인성 ,29000
파이썬 크래시 코스,에릭 마테스 ,35100
바다에서 보낸 어느 멋진 주말,가엘 알메라스 ,16200
불안이 많은 아이,이다랑 ,16200
"STEM CookBook, 경영경제수학 첫걸음","김진한 , 이재원 ",26000
관찰 가능성 엔지니어링,알렉스 보텐 ,28800
논리력을 키우는 영어 글쓰기,이요안 ,20000
만화로 보는 피스톨 스토리,"푸르공 , 이세환(감수) ",19800
"IT CookBook, 난생처음 데이터 분석 with 파이썬","김규석 , 김주희 , 이준 ",26000
나이가 든다는 착각,베카 레비 ,17820
사실은 이것도 디자인입니다,김성연 ,17100
육각형 개발자,최범균 ,19800
AI 전쟁,"하정우 , 한상기 ",17820
일터로 간 뇌과학,프레데리케 파브리티우스 ,19800
UML다이어그램을 활용한 소프트웨어 창의 설계,"박현석 , 김연정 , 김연우 , 지현진 ",24000
